Alan Şeması,Mahal Adı,Alan,BagimsizBolumNo,BlokNo,EmsalAlanTipi,Eklenti/Degil,Seviye
Brüt Alan,BAĞIMSIZ BÖLÜM,138.8310000000022,5,A,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,114.23099999999792,6,A,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,138.8310000000012,8,A,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,142.9310000000016,7,A,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,138.8310000000022,5,B,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,114.23099999999806,6,B,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,138.83100000000158,8,B,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,142.93100000000595,7,B,,,Level 2
Brüt Alan,ORTAK ALAN,64.33999999999885,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.35750000000001037,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.35750000000069215,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.3574999999969922,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.35750000000065596,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.4680000000000051,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.4679999999999176,,,,,Level 2
Brüt Alan,ORTAK ALAN,64.33999999999877,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.3574999999999416,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.35750000000067167,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.3574999999927925,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.3575000000006862,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.4680000000000076,,,,,Level 2
Brüt Alan,ORTAK ALAN,0.468000000000049,,,,,Level 2
Brüt Alan,BAĞIMSIZ BÖLÜM,207.09212957752928,9,A,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,60.300370422473186,10,A,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,138.8310000000014,12,A,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,128.58099999999874,11,A,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,207.09212957752885,9,B,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,60.30037042247196,12,B,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,138.83100000000178,10,B,,,Level 3
Brüt Alan,BAĞIMSIZ BÖLÜM,128.58099999999092,11,B,,,Level 3
Brüt Alan,ORTAK ALAN,64.33999999999784,,,,,Level 3
Brüt Alan,ORTAK ALAN,0.3574999999997667,,,,,Level 3
Brüt Alan,ORTAK ALAN,0.35749999999988485,,,,,Level 3
